"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"PAN",2013,3721.21088802390863862,2208875.805678581590737
"PER",2013,142870.34103778903251443,97978755.749138115013006
"PHL",2013,10835.45078695861752857,7570826.046759409126605
"PLW",2013,6.33621063268961602,4373.42865500073112
"PNG",2013,30630.46496777299705707,26175206.022234428036320
"PRI",2013,20.39993394396592885,11233.46472761350123
"PRY",2013,53486.64730217113830722,19194662.275974814246254
"RWA",2013,15.29798292623718430,8703.482982827184985
"SLB",2013,5596.85206018752242778,4521392.172221509549605
"SLE",2013,2462.82499541776388152,1140369.488559279868805
"SLV",2013,16.09696226182725660,8972.95722590535222
"SSD",2013,144.18341631986291515,78615.8359774973014
"SUR",2013,6627.70260365283762278,5317047.03043444467712
"SXM",2013,0.5126807670963542,181.76454727436618
"TCA",2013,3.64707623958550264,1015.091272135031078
"TGO",2013,4.2014995146112739,1074.964874862491406
"THA",2013,3972.92609021854256161,2259426.756653149056930
"TTO",2013,103.07356738336151566,59382.787693318308724
"TWN",2013,152.51451734475287402,40722.075455303425175
"TZA",2013,2629.03286640086756752,1213594.504936335146347
"UGA",2013,3558.61237785325892047,1818139.735650621885225
"USA",2013,86.36717585831065225,37816.673126865431891
"VCT",2013,0.89902009800509980,448.1840816424797
"VEN",2013,15349.15908773633764775,8648320.055088162515919
"VGB",2013,1.38864256584092893,532.223927152970239
"VIR",2013,0.36559649945095491,174.41067944833017
"VNM",2013,26714.95733900077605702,18868716.683113820713396
"VUT",2013,230.99985572820091522,135173.43847620399551
"ZAF",2013,540.65776374610867682,344327.839629476135435
"ZMB",2013,1598.45090511380180456,750582.79761124895625
"ZWE",2013,100.12584428199542956,49454.98176796935187
"AGO",2014,10992.64039715155475688,5875825.85791045059249
"ARG",2014,19289.97270439730081971,6507075.814573079930906
"AUS",2014,20.36609653585286562,10617.812672477604761
"BDI",2014,47.55898950862141817,23655.71753672349614
"BEN",2014,4.27761644038981008,1023.19492943033347
"BES",2014,0.14681028047526043,0.0
"BGD",2014,458.22249857362699118,268607.00684605673880
"BHS",2014,1.9898100292437064,384.4392080754559
"BLZ",2014,9026.48817739328186222,4053868.004783010139891
"BOL",2014,133268.15243709168719419,69710430.649838183196129
"BRA",2014,940904.58865900563974413,604087635.273384131243525
"BRN",2014,1380.35387674737082234,1032280.632817745966774
"BTN",2014,462.79803586558159697,286329.105116225394166
"CAF",2014,8934.95483738502246132,5393556.86509380070680
"CHN",2014,5130.78806954970169418,2997690.671503600314468
"CIV",2014,36119.23126890881730726,16325860.680070764249316
"CMR",2014,89176.39686692814856298,56054954.496825289380075
"COD",2014,439344.68904385816224166,299251006.690484122252388
"COG",2014,31142.63395840292306246,19831922.358003618300913
"COL",2014,80035.54365906368711718,50424336.341699973314080
"CRI",2014,957.89827929945898317,554857.689083324279004
"CUB",2014,59.12163832866642314,20261.892436228079237
"CYM",2014,0.79807286687825533,186.195388034371028
"DMA",2014,2.00424791424750449,1184.536222229025054
"DOM",2014,740.28936956330067431,293565.049478241270202
"ECU",2014,6329.58597274510191364,4561872.002452129739696
"ETH",2014,5632.13458257892529194,3173816.89124373236808
"FJI",2014,244.44106383839088578,137595.7192614760604054
"GAB",2014,29148.50925953545667356,18498971.025082183421287
"GHA",2014,7455.76141607919268587,3253981.186939847365966
"GIN",2014,754.29125042573017496,369337.169598612903295
"GLP",2014,1.62680529468750014,996.81541271963633
"GNB",2014,447.94298531607256216,143376.217667914830954
"GNQ",2014,10677.55795873737918848,6844021.70889359249672
"GTM",2014,18236.84340307271242705,8841187.587380503768357
"GUF",2014,2813.86593999997724765,2165112.867904861644466
"GUY",2014,7789.67093734917095010,5368306.459340885921627
"HND",2014,22265.38818716100374981,12421052.915090288799482
"HTI",2014,10.89508292300130363,5249.430465085753936
"IDN",2014,736797.88243810595396621,683856901.281596824443829
"IND",2014,21941.68361100463569898,11795089.614889087618232
"JAM",2014,276.9758506369053613,148466.74003512651133
"KEN",2014,1210.22162241462746869,503172.092478865586382
"KHM",2014,89449.85793723989651369,59507134.578095547370604
"KNA",2014,2.4278208068164064,1265.2305925311825
"LAO",2014,46968.50109602141749288,27011394.504599785208644
"LBR",2014,18962.85681713425202859,9392287.913503756098751
"LCA",2014,2.61585684312554255,1542.753774481579756
"LKA",2014,365.12559722286052517,113300.671140186635678
"MAF",2014,0.6590565057975261,310.41848028310175
"MDG",2014,78698.51708379446393812,43279837.857279728817381
"MDV",2014,1.8341091472648117,7.402888082760831
"MEX",2014,23837.19304211136989450,10716066.666324351762830
"MMR",2014,42156.77711312454867576,26523442.715456228750507
"MOZ",2014,644.77693259050476557,330993.239157987547279
"MSR",2014,0.14751245088216146,86.157961392631875
"MTQ",2014,0.89360662280544713,413.55399702696737
"MWI",2014,17.4565510454958782,7598.2703264117144
"MYS",2014,230428.60529594951046437,187779227.520872007729340
"NGA",2014,9928.19657247254176876,4007002.94839173070361
"NIC",2014,23320.86849809161540390,13424992.448861347813867
"NPL",2014,59.18781087421549126,35060.461837589168381
"PAN",2014,2701.82233661655908872,1637089.943040417687905
"PER",2014,133106.92530036350467978,90007729.309723146817044
"PHL",2014,11483.65772203437402831,8019320.620974281050420
"PLW",2014,22.45054959343477700,16043.64378538194930
"PNG",2014,58477.80836185871218011,49040780.989334939247103
"PRI",2014,20.39459941161241447,10614.49280555189519
"PRY",2014,38156.55873460578134960,13623267.496267105201009
"RWA",2014,34.36440093761278000,19956.04397552907491
"SEN",2014,0.2253388881260851,215.11697454612003
"SLB",2014,10326.98017744565165879,8283178.115328833535914
"SLE",2014,1762.10693168437800611,786639.53759348353005
"SLV",2014,25.45906565541829992,13946.099842050594451
"SSD",2014,85.8899638770684193,40679.85248069229492
"SUR",2014,9659.08913343281700080,7840352.808051769925045
"SXM",2014,0.1464812939453125,74.92953811587371
"TCA",2014,7.15205222762261228,1283.257072156725347
"TGO",2014,25.7437436740874772,6756.90068674280864
"THA",2014,4650.33531949304450707,2714785.941819687475576
"TTO",2014,148.76597785260312201,85137.87286488721719
"TWN",2014,93.1117708138520157,49188.69712768733572
"TZA",2014,3419.56135508283652098,1659791.156214002811243
"UGA",2014,3435.80210972675323792,1762342.871926442534702
"USA",2014,162.56273899233266845,72661.540703659333847
"VCT",2014,1.49854092722710507,693.52471923738579
"VEN",2014,20608.51717782113144360,11643647.369267672165322
"VGB",2014,0.07307870763780383,34.30115782416196
"VNM",2014,41830.49141001440756540,27793075.339989300869235
"VUT",2014,118.85702084906683615,69101.18831140373328
"ZAF",2014,516.40605094145755303,389999.351978022383269
"ZMB",2014,2059.75999788457943754,968721.16401857035305
"ZWE",2014,37.58534795961152899,22894.23057020058387
"AGO",2015,9000.13798114385626807,5011531.98623127878252
"ARG",2015,10542.02273628000446227,3633746.902719604365346
"BDI",2015,16.66605507256415437,7702.31912456199075
"BEN",2015,0.22944507748291018,72.832662113979665
"BGD",2015,205.86704726605162603,115665.536779315228884
"BHS",2015,2.41192409777018225,473.508765870711421
"BLZ",2015,6600.35803802422369711,2967904.78302009819794
"BOL",2015,83298.64862076745738690,41494451.226751002490820
"BRA",2015,828870.02080002449892254,538207154.360149959385353
"BRN",2015,806.84245030458019072,588017.046874183259456
"BTN",2015,278.90066727963006581,156285.886291441372242
"CAF",2015,5064.36063989218293062,3279069.01483594849121
"CHN",2015,3645.08795354658885264,2132747.359599513805731
"CIV",2015,15592.06706481206150804,7180615.632968565062056
"CMR",2015,40994.48992916888688950,26080554.913213876581772
"COD",2015,322813.54724483182910876,225176293.39832394885315
"COG",2015,18197.21310745824774362,11607042.908535428167057
"COL",2015,49642.96810598999724916,31335174.414886407580144
"CRI",2015,220.89218732326340505,128735.910162176401278
"CUB",2015,155.36394295212653387,33963.207937518401499
"DOM",2015,1821.14719945929020839,778128.582623753821934
"ECU",2015,8471.90404863641762670,6347606.709613404235265
"ETH",2015,1200.22835589896191281,687219.16094279128540
"FJI",2015,118.66423164461371606,68966.05788878048228
"GAB",2015,15816.06078400003221201,10324385.33576315116600
"GHA",2015,3620.56187592442454364,1658870.34513483546753
"GIN",2015,1136.34765688499705518,557804.602884975962056
"GLP",2015,4.29016631784884998,2191.804752110574542
"GNB",2015,407.77436952630479451,135468.068495886607606
"GNQ",2015,4051.06034230858168328,2634445.599751495582019
"GTM",2015,16722.34774073202987699,8161393.106248133893119
"GUF",2015,1945.45456752065946141,1502463.406222432363571
"GUY",2015,8462.81977870731316072,5797910.976699358018223
"HND",2015,15366.43972417812938385,8472058.298704003452260
"HTI",2015,20.33106024289062423,11427.709903634870977
"IDN",2015,666641.54898344553577604,579210316.184975588841678
"IND",2015,20996.62556253639749872,11541474.968941884773071
"JAM",2015,203.15731135665135534,109107.13535442999661
"KEN",2015,3054.83016808401571232,1225670.913682964783844
"KHM",2015,70631.62049866143282480,45251266.583215517289416
"LAO",2015,58991.94494879114376789,34831877.50572680181868
"LBR",2015,25850.26099566939274352,12983942.180134232462158
"LCA",2015,0.4484012423844402,242.9987209737168
"LKA",2015,360.96330469370371632,128723.05028568133612
"MDG",2015,57831.41300191173304569,31544698.896071294501320
"MEX",2015,32682.14474362701364810,14015060.8877505329106721
"MMR",2015,41429.43905174762861416,25983436.797232528052414
"MOZ",2015,559.97034976406202128,299914.659128351194662
"MTQ",2015,0.22336747709526910,89.988073342117277
"MWI",2015,21.9025995989963125,12596.4855892821718
"MYS",2015,154354.10979397812064777,122492476.887856727789722
"NGA",2015,5318.40143626590978731,2087712.351198685614067
"NIC",2015,12542.70301869471369485,7168933.244842809989909
"NPL",2015,97.96705473708876333,50700.744195750423116
"PAN",2015,2027.10305441001234732,1231173.799246503790585
"PER",2015,104864.28196868700381834,70470718.334680392927536
"PHL",2015,6477.38417678165948792,4403286.354357518400845
"PNG",2015,77940.70601307904437918,64469814.865735007017320
"PRI",2015,21.4192236461838111,11675.81557100211556
"PRY",2015,28271.43084764890191263,9460105.087468190923473
"RWA",2015,9.37917762045498488,5818.300783806908176
"SEN",2015,0.5261984144525825,643.96986023914123
"SGP",2015,0.07691072528252496,46.2211677590229
"SLB",2015,9286.53095427425587081,7678241.622184630907177
"SLE",2015,3169.81936279274948730,1426732.669694907161879
"SLV",2015,38.25645854757052635,22919.540520669560302
"SSD",2015,65.36154614724463494,33040.66544182769355
"SUR",2015,8079.70571222897583785,6518487.527324939384621
"TCA",2015,4.7217654638075075,963.3090356421241
"THA",2015,2325.56768866259257392,1345231.91893899700428
"TTO",2015,100.08172475669325426,57680.385019216181224
"TWN",2015,25.04386351033962788,14732.13827065810338
"TZA",2015,1519.16401830498546828,640823.700695706960888
"UGA",2015,3129.41538799353618277,1492900.043973072425914
"USA",2015,265.61891204351401020,125242.430526785615396
"VEN",2015,15545.86847686568588067,8763524.5494747504693924
"VNM",2015,38581.70088229209402259,25498643.788148277125464
"VUT",2015,699.02624276361398644,380794.733940088709485
"ZAF",2015,533.05115758198013983,386706.694615930168694
"ZMB",2015,2336.26775386021062036,1106418.343585437088243
"ZWE",2015,62.44879087797197327,37911.62665039651329
"AGO",2016,12048.26838609254088250,6693540.922983748739684
"ARG",2016,15242.19803470867634110,5634243.916363150953019
"AUS",2016,6.98766891232205212,3062.27917714374789
"BDI",2016,27.96562423609686795,13520.817411594656716
"BEN",2016,13.13379896465386537,3281.51154895877451
"BGD",2016,345.35947262864763247,206138.736635474850602
"BHS",2016,1458.84979555395545720,295214.749889328615751
"BLZ",2016,11476.66264373775859755,5748808.583722256206736
"BOL",2016,246088.23801186354699718,121640810.531685111220706
"BRA",2016,2830977.44497392687247001,1860379780.360001887547618
"BRN",2016,1089.55819630713948341,866126.417476564666220
"BTN",2016,703.52221289706818758,422978.046501814591763
"CAF",2016,20129.74565223256855462,13331635.648594826323784
"CHN",2016,3709.07248587818003023,2112662.309540103474370
"CIV",2016,16912.24235413364701450,7893398.302794147105044
"CMR",2016,58602.18553550046851714,37717153.028740528447555
"COD",2016,499559.86092223908028729,352823366.277373884597524
"COG",2016,43658.97869795420153223,29930695.529604547224333
"COL",2016,108566.06373501233938435,68838275.016317348418566
"CRI",2016,1581.34371954964570915,922351.577348057539760
"CUB",2016,302.43145303521235095,100696.573726498165638
"CYM",2016,37.4237352243077004,8362.8799882056762
"DMA",2016,2.2273036580951605,1212.35136560531601
"DOM",2016,2866.95174469093317084,1296830.325341303987035
"ECU",2016,13197.90895943687217526,9837977.713036570915246
"ETH",2016,2873.70304275890887551,1661217.013978611501643
"FJI",2016,3094.28698252165061676,1822279.341488423139326
"GAB",2016,18885.74109404399626714,12510941.092433087319414
"GHA",2016,13749.02190429292400099,5887110.66072385016562
"GIN",2016,1542.57411250990081881,776368.580789258012439
"GLP",2016,0.14786730382595487,40.547943223641596
"GNB",2016,527.42839566463721143,174147.867489187460342
"GNQ",2016,5045.79272856570621409,3240732.60020599652393
"GTM",2016,63225.37698187883448573,31732835.281957180357084
"GUF",2016,3921.56778320661990415,3064156.09193417191305
"GUY",2016,16688.64302063112327792,10869234.338872420858671
"HND",2016,46023.86128971741345467,24862862.239073845723768
"HTI",2016,2031.16595924041523118,1030162.738203892542290
"IDN",2016,928660.29191709296325339,836802527.190758811653619
"IND",2016,30936.04738596272395339,17299348.601395531512792
"JAM",2016,725.50810499682281384,470689.31921077706572
"KEN",2016,2052.22181278524248019,884815.358932127201773
"KHM",2016,93615.54481178343442729,58670182.231872745390227
"KNA",2016,2.6491628118771704,1460.4291481674193
"LAO",2016,76478.70434462702954651,45332079.53986007957636
"LBR",2016,19753.80579232750332649,9858264.58642511666954
"LCA",2016,42.22536381241753436,24850.45053564064467
"LKA",2016,425.05357500358703527,157346.086393629161071
